,Date,goals_for,goals_against,goals,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target
279,2019-04-28,1,1,1,7,4,57.1,13.6,1,0,0,1.1,1.1,0.16,-0.1,-0.1,15,8,9,3,3,6,15,40.0,9,16,6,10,6,21,14,1,1,16.5,6,2,1,2
280,2018-08-12,4,0,4,18,8,44.4,13.8,2,0,0,4.0,4.0,0.22,0.0,0.0,19,14,8,9,2,8,15,53.3,7,10,1,9,9,28,8,0,1,13.5,6,3,9,1
281,2018-08-20,2,0,2,15,5,33.3,19.8,1,1,1,2.6,1.8,0.12,-0.6,-0.8,22,14,10,11,1,10,27,37.0,17,10,1,9,10,32,20,0,0,20.0,0,3,10,1
282,2018-08-25,1,0,1,22,7,31.8,16.8,1,0,0,1.6,1.6,0.07,-0.6,-0.6,21,13,8,9,4,7,14,50.0,7,11,2,9,9,30,10,0,1,17.5,5,3,7,1
283,2018-09-15,2,1,2,17,10,58.8,13.9,1,0,0,2.6,2.6,0.15,-0.6,-0.6,17,11,9,8,0,8,15,53.3,7,13,3,10,6,23,22,0,0,12.5,5,3,0,1
284,2018-09-29,1,1,1,13,4,30.8,17.9,1,0,0,1.6,1.6,0.12,-0.6,-0.6,15,8,5,8,2,4,8,50.0,4,12,2,10,12,27,16,0,0,17.5,5,3,1,2
285,2018-10-07,0,0,0,7,2,28.6,16.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,17,11,13,4,0,6,13,46.2,7,8,1,7,9,26,18,1,1,16.5,6,3,6,2
286,2018-11-03,1,1,1,13,4,30.8,17.3,0,0,0,1.3,1.3,0.1,-0.3,-0.3,13,10,5,6,2,6,11,54.5,5,14,3,11,8,21,29,1,0,17.5,5,3,5,2
287,2018-12-02,1,0,1,16,3,18.8,16.2,0,0,0,2.9,2.9,0.19,-1.9,-1.9,21,8,3,16,2,9,15,60.0,6,7,2,5,7,28,19,0,1,16.25,6,3,4,1
288,2018-12-16,3,1,3,36,10,27.8,19.7,0,0,0,2.5,2.5,0.07,0.5,0.5,12,8,5,6,1,6,14,42.9,8,9,0,9,4,16,8,1,1,16.0,6,3,2,1
289,2018-12-26,4,0,4,15,7,46.7,15.1,1,1,1,2.9,2.2,0.15,1.1,0.8,8,4,2,5,1,4,12,33.3,8,7,0,7,9,17,14,1,1,15.0,2,3,8,1
290,2018-12-29,5,1,5,13,8,61.5,19.4,0,2,2,3.8,2.3,0.18,1.2,0.7,17,13,2,13,2,7,14,50.0,7,9,3,6,8,25,15,2,1,17.5,5,3,5,1
291,2019-01-03,1,2,1,7,4,57.1,11.3,0,0,0,1.5,1.5,0.21,-0.5,-0.5,18,9,10,7,1,13,21,61.9,8,12,1,11,10,28,21,1,0,20.0,3,3,6,0
292,2019-01-12,1,0,1,9,2,22.2,15.1,0,1,1,2.0,1.2,0.13,-1.0,-1.2,10,7,7,2,1,2,5,40.0,3,9,2,7,6,16,15,0,0,15.0,5,3,7,1
293,2019-01-19,4,3,4,19,9,47.4,15.7,0,0,0,2.6,2.6,0.14,1.4,1.4,19,12,4,11,4,13,23,56.5,10,9,3,6,3,22,18,0,1,15.0,5,3,10,1
294,2019-02-04,1,1,1,11,6,54.5,17.3,0,0,0,1.1,1.1,0.1,-0.1,-0.1,16,7,4,10,2,10,19,52.6,9,8,4,4,3,19,21,0,0,20.0,0,3,9,2
295,2019-02-24,0,0,0,7,1,14.3,17.5,1,0,0,0.5,0.5,0.07,-0.5,-0.5,19,12,7,8,4,8,14,57.1,6,11,2,9,5,24,9,0,0,14.083333333333334,6,3,2,2
296,2019-03-03,0,0,0,10,3,30.0,17.3,1,0,0,1.1,1.1,0.12,-1.1,-1.1,18,13,9,8,1,9,19,47.4,10,3,1,2,13,31,34,0,0,16.25,6,3,4,2
297,2019-03-31,2,1,1,14,3,21.4,17.9,1,0,0,1.0,1.0,0.08,0.0,0.0,18,11,7,9,2,10,19,52.6,9,11,2,9,8,26,20,1,1,16.5,6,3,0,1
298,2019-04-14,2,0,2,15,7,46.7,17.9,0,0,0,1.2,1.2,0.08,0.8,0.8,19,11,8,7,4,6,23,26.1,17,6,0,6,13,32,13,0,1,16.5,6,3,1,1
299,2019-05-04,3,2,3,11,4,36.4,12.8,0,0,0,1.2,1.2,0.11,1.8,1.8,13,5,7,4,2,3,8,37.5,5,9,5,4,4,17,22,0,0,19.75,5,3,8,1
300,2018-09-16,1,3,1,16,4,25.0,19.8,3,0,0,1.4,1.4,0.08,-0.4,-0.4,22,13,13,5,4,10,20,50.0,10,11,3,8,10,32,9,2,1,16.0,6,4,9,0
301,2018-09-23,0,2,0,10,6,60.0,17.1,1,0,0,0.8,0.8,0.09,-0.8,-0.8,20,11,13,3,4,6,12,50.0,6,10,3,7,18,38,28,0,0,16.0,6,4,5,0
