Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-12-09,5,2,40.0,18.6,0,0,0,0.3,0.3,0.06,0.7,0.7,22,14,12,6,4,7,22,31.8,15,20,8,12,21,43,32,0,1,12.5,5,9,1,1,0.9666666666666655,0.7000000000000016,6.333333333333333,13.666666666666666,0.0,0.0,0.0
2017-12-09,19,2,10.5,18.2,0,0,0,1.2,1.2,0.07,-1.2,-1.2,24,16,9,11,4,5,27,18.5,22,7,2,5,8,32,20,0,0,12.5,5,1,9,0,1.866666666666667,1.6000000000000003,17.0,18.0,0.0,0.0,0.0
2017-12-10,14,7,50.0,17.9,0,0,0,1.7,1.7,0.12,0.3,0.3,18,12,9,8,1,8,22,36.4,14,4,1,3,9,27,16,2,0,16.5,6,6,2,1,1.666666666666666,1.4000000000000021,16.333333333333332,19.666666666666668,0.0,0.0,0.0
2017-12-10,8,5,62.5,15.6,1,0,0,1.4,1.4,0.22,-0.4,-0.4,22,16,17,4,1,7,24,29.2,17,13,3,10,19,41,19,1,1,16.5,6,2,6,0,2.0333333333333328,2.0333333333333337,13.0,13.333333333333334,0.0,0.0,0.0
2017-12-10,23,3,13.0,20.6,1,0,0,1.6,1.6,0.07,-0.6,-0.6,13,11,5,5,3,5,6,83.3,1,9,0,9,7,20,8,0,1,14.25,6,3,4,2,1.8999999999999992,1.900000000000001,14.333333333333334,18.666666666666668,0.0,0.0,0.0
2017-12-10,2,1,50.0,29.8,0,1,1,0.9,0.1,0.04,0.1,-0.1,21,12,16,4,1,10,28,35.7,18,17,8,9,20,41,54,1,0,14.25,6,4,3,2,1.433333333333333,0.900000000000002,7.666666666666667,20.333333333333332,0.0,0.0,0.0
2017-12-13,6,0,0.0,17.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,11,5,8,1,2,4,19,21.1,15,22,10,12,17,28,41,0,1,20.0,2,9,5,2,0.6666666666666655,0.40000000000000163,6.0,17.666666666666668,0.0,0.0,0.0
2017-12-13,7,4,57.1,17.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,13,9,11,2,0,5,16,31.3,11,15,11,4,17,30,41,0,0,20.0,2,7,0,0,0.9333333333333317,0.7000000000000015,7.666666666666667,18.333333333333332,0.0,0.0,0.0
2017-12-13,22,3,13.6,21.5,2,0,0,1.0,1.0,0.05,-1.0,-1.0,17,11,7,5,5,5,20,25.0,15,10,2,8,16,33,25,0,0,20.0,2,5,9,2,2.366666666666666,2.366666666666669,17.666666666666668,17.333333333333332,0.0,0.0,0.0
2017-12-13,16,4,25.0,22.3,1,0,0,0.8,0.8,0.05,-0.8,-0.8,17,10,6,9,2,7,11,63.6,4,9,0,9,10,27,7,1,1,19.75,2,8,4,0,0.6666666666666649,0.6666666666666682,9.0,17.0,0.0,0.0,0.0
